survived,pclass,name,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,dest
1,1,"Allen, Miss. Elisabeth Walton",F,29,0,0,24160,211.3375,B5,S,2,,"St Louis, MO"
1,1,"Allison, Master. Hudson Trevor",M,0.9167,1,2,113781,151.55,C22 C26,S,11,,"Montreal, PQ / Chesterville, ON"
0,1,"Allison, Miss. Helen Loraine",F,2,1,2,113781,151.55,C22 C26,S,,,"Montreal, PQ / Chesterville, ON"
0,1,"Allison, Mr. Hudson Joshua Creighton",M,30,1,2,113781,151.55,C22 C26,S,,135,"Montreal, PQ / Chesterville, ON"
0,1,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",F,25,1,2,113781,151.55,C22 C26,S,,,"Montreal, PQ / Chesterville, ON"
1,1,"Anderson, Mr. Harry",M,48,0,0,19952,26.55,E12,S,3,,"New York, NY"
1,1,"Andrews, Miss. Kornelia Theodosia",F,63,1,0,13502,77.9583,D7,S,10,,"Hudson, NY"
0,1,"Andrews, Mr. Thomas Jr",M,39,0,0,112050,0,A36,S,,,"Belfast, NI"
1,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",F,53,2,0,11769,51.4792,C101,S,D,,"Bayside, Queens, NY"
0,1,"Artagaveytia, Mr. Ramon",M,71,0,0,PC 17609,49.5042,,C,,22,"Montevideo, Uruguay"
0,1,"Astor, Col. John Jacob",M,47,1,0,PC 17757,227.525,C62 C64,C,,124,"New York, NY"
1,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",F,18,1,0,PC 17757,227.525,C62 C64,C,4,,"New York, NY"
1,1,"Aubart, Mme. Leontine Pauline",F,24,0,0,PC 17477,69.3,B35,C,9,,"Paris, France"
1,1,"Barber, Miss. Ellen ""Nellie""",F,26,0,0,19877,78.85,,S,6,,
1,1,"Barkworth, Mr. Algernon Henry Wilson",M,80,0,0,27042,30,A23,S,B,,"Hessle, Yorks"
0,1,"Baumann, Mr. John D",M,,0,0,PC 17318,25.925,,S,,,"New York, NY"
0,1,"Baxter, Mr. Quigg Edmond",M,24,0,1,PC 17558,247.5208,B58 B60,C,,,"Montreal, PQ"
1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",F,50,0,1,PC 17558,247.5208,B58 B60,C,6,,"Montreal, PQ"
1,1,"Bazzani, Miss. Albina",F,32,0,0,11813,76.2917,D15,C,8,,
0,1,"Beattie, Mr. Thomson",M,36,0,0,13050,75.2417,C6,C,A,,"Winnipeg, MN"
1,1,"Beckwith, Mr. Richard Leonard",M,37,1,1,11751,52.5542,D35,S,5,,"New York, NY"
1,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",F,47,1,1,11751,52.5542,D35,S,5,,"New York, NY"
1,1,"Behr, Mr. Karl Howell",M,26,0,0,111369,30,C148,C,5,,"New York, NY"
1,1,"Bidois, Miss. Rosalie",F,42,0,0,PC 17757,227.525,,C,4,,
1,1,"Bird, Miss. Ellen",F,29,0,0,PC 17483,221.7792,C97,S,8,,
0,1,"Birnbaum, Mr. Jakob",M,25,0,0,13905,26,,C,,148,"San Francisco, CA"
1,1,"Bishop, Mr. Dickinson H",M,25,1,0,11967,91.0792,B49,C,7,,"Dowagiac, MI"
1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",F,19,1,0,11967,91.0792,B49,C,7,,"Dowagiac, MI"
1,1,"Bissette, Miss. Amelia",F,35,0,0,PC 17760,135.6333,C99,S,8,,
1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",M,28,0,0,110564,26.55,C52,S,D,,"Stockholm, Sweden / Washington, DC"
0,1,"Blackwell, Mr. Stephen Weart",M,45,0,0,113784,35.5,T,S,,,"Trenton, NJ"
1,1,"Blank, Mr. Henry",M,40,0,0,112277,31,A31,C,7,,"Glen Ridge, NJ"
1,1,"Bonnell, Miss. Caroline",F,30,0,0,36928,164.8667,C7,S,8,,"Youngstown, OH"
1,1,"Bonnell, Miss. Elizabeth",F,58,0,0,113783,26.55,C103,S,8,,"Birkdale, England Cleveland, Ohio"
0,1,"Borebank, Mr. John James",M,42,0,0,110489,26.55,D22,S,,,"London / Winnipeg, MB"
1,1,"Bowen, Miss. Grace Scott",F,45,0,0,PC 17608,262.375,,C,4,,"Cooperstown, NY"
1,1,"Bowerman, Miss. Elsie Edith",F,22,0,1,113505,55,E33,S,6,,"St Leonards-on-Sea, England Ohio"
1,1,"Bradley, Mr. George (""George Arthur Brayton"")",M,,0,0,111427,26.55,,S,9,,"Los Angeles, CA"
0,1,"Brady, Mr. John Bertram",M,41,0,0,113054,30.5,A21,S,,,"Pomeroy, WA"
0,1,"Brandeis, Mr. Emil",M,48,0,0,PC 17591,50.4958,B10,C,,208,"Omaha, NE"
0,1,"Brewe, Dr. Arthur Jackson",M,,0,0,112379,39.6,,C,,,"Philadelphia, PA"
1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",F,44,0,0,PC 17610,27.7208,B4,C,6,,"Denver, CO"
1,1,"Brown, Mrs. John Murray (Caroline Lane Lamson)",F,59,2,0,11769,51.4792,C101,S,D,,"Belmont, MA"
1,1,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",F,60,0,0,11813,76.2917,D15,C,8,,"Philadelphia, PA"
1,1,"Burns, Miss. Elizabeth Margaret",F,41,0,0,16966,134.5,E40,C,3,,
0,1,"Butt, Major. Archibald Willingham",M,45,0,0,113050,26.55,B38,S,,,"Washington, DC"
0,1,"Cairns, Mr. Alexander",M,,0,0,113798,31,,S,,,
1,1,"Calderhead, Mr. Edward Pennington",M,42,0,0,PC 17476,26.2875,E24,S,5,,"New York, NY"
1,1,"Candee, Mrs. Edward (Helen Churchill Hungerford)",F,53,0,0,PC 17606,27.4458,,C,6,,"Washington, DC"
1,1,"Cardeza, Mr. Thomas Drake Martinez",M,36,0,1,PC 17755,512.3292,B51 B53 B55,C,3,,"Austria-Hungary / Germantown, Philadelphia, PA"
1,1,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",F,58,0,1,PC 17755,512.3292,B51 B53 B55,C,3,,"Germantown, Philadelphia, PA"
0,1,"Carlsson, Mr. Frans Olof",M,33,0,0,695,5,B51 B53 B55,S,,,"New York, NY"
0,1,"Carrau, Mr. Francisco M",M,28,0,0,113059,47.1,,S,,,"Montevideo, Uruguay"
0,1,"Carrau, Mr. Jose Pedro",M,17,0,0,113059,47.1,,S,,,"Montevideo, Uruguay"
1,1,"Carter, Master. William Thornton II",M,11,1,2,113760,120,B96 B98,S,4,,"Bryn Mawr, PA"
1,1,"Carter, Miss. Lucile Polk",F,14,1,2,113760,120,B96 B98,S,4,,"Bryn Mawr, PA"
1,1,"Carter, Mr. William Ernest",M,36,1,2,113760,120,B96 B98,S,C,,"Bryn Mawr, PA"
1,1,"Carter, Mrs. William Ernest (Lucile Polk)",F,36,1,2,113760,120,B96 B98,S,4,,"Bryn Mawr, PA"
0,1,"Case, Mr. Howard Brown",M,49,0,0,19924,26,,S,,,"Ascot, Berkshire / Rochester, NY"
1,1,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",F,,0,0,17770,27.7208,,C,5,,"New York, NY"
0,1,"Cavendish, Mr. Tyrell William",M,36,1,0,19877,78.85,C46,S,,172,"Little Onn Hall, Staffs"
